Year,Embarked,Disembarked
1645,371,315
1650,453,387
1678,66,56
1679,371,315
1680,186,158
1681,453,193
1685,300,208
1687,221,153
1693,227,193
1695,227,193
1697,227,193
1698,1011,855
1700,38,31
1705,37,30
1710,83,66
1711,83,66
1712,120,96
1715,212,48
1716,65,54
1717,657,553
1718,456,383
1719,274,226
1720,154,126
1722,186,158
1723,104,87
1725,846,719
1726,859,737
1727,334,287
1728,954,818
1729,1519,1267
1730,562,249
1731,1147,964
1732,2437,1707
1733,1727,1344
1734,676,574
1735,1228,1051
1736,2886,2379
1737,2057,1663
1738,1658,1409
1739,2177,1782
1740,1511,1272
1741,1320,1121
1742,1139,841
1743,1397,1186
1744,1297,1094
1745,495,420
1746,747,484
1747,836,708
1748,1220,919
1749,1369,1139
1750,2452,2085
1751,3569,3009
1752,2147,1822
1753,2068,1748
1754,1713,1283
1755,2769,2339
1756,1810,1238
1757,2988,2561
1758,2160,1811
1759,1772,1520
1760,2069,1710
1761,3873,3074
1762,3401,2880
1763,4126,3473
1764,5208,4238
1765,4580,3739
1766,2922,2488
1767,3551,2862
1768,2575,2211
1769,3318,2850
1770,3889,3369
1771,3816,3307
1772,4868,4003
1773,5651,4835
1774,6717,5714
1775,3016,2540
1776,603,510
1778,165,140
1782,318,270
1783,1121,939
1784,1113,931
1785,2763,2388
1786,1967,1585
1787,2406,2083
1788,995,835
1789,2547,2141
1790,3101,2648
1791,2982,2537
1792,6259,5252
1793,5002,3650
1794,3991,3339
1795,5364,4720
1796,7595,6496
1797,6146,5167
1798,2187,1935
1799,4913,4148
1800,5903,4886
1801,2708,2329
1802,5604,4913
1803,6723,5513
1804,11268,8725
1805,15327,12689
1806,20874,17280
1807,36217,29675
1808,3150,2586
1809,500,410
1810,1552,1381
1811,776,500
1812,500,410
1813,500,410
1814,500,410
1815,500,410
1816,500,410
1817,500,410
1818,500,410
1819,500,410
1820,500,410
1821,161,141
1824,186,158
1827,440,406
1829,1410,1256
1858,350,303
1860,126,110
